command	description
fs-.	Remove the currently active flag space
fsq	Display a list of all flag spaces in a compact, quiet format
fsm [addr]	Move all flags from a given address to the currently selected flag space
fss	Show the current state of the flag space stack
fss*	Output the flag space stack state as a series of r2 commands
fssj	Present the flag space stack information in JSON format
fsr newname	Change the name of the currently selected flag space
ft tag strcpy strlen ...	Associate multiple function names with the 'string' tag for categorization
ft tag	List all flags that have been tagged with the specified tag
ftn tag	Display the names of all flags associated with the given tag
ftw	Show all tags used within the current file or project
ftj	Output a comprehensive list of all flag tags and their associated flags in JSON format
ft*	Generate r2 commands to recreate all current flag tags and their associations
fz math	Create a new flag zone named 'math' to group related flags
fz-math	Delete the flag zone named 'math' and ungroup its flags
fz-*	Remove all defined flag zones, reverting to a flat flag structure
fz.	Display the context around the current flag zone, showing nearby flags and boundaries
fz:	Show the contents of the current visual flag zone as defined by scr.flagzone
fz*	Export all flag zone definitions as r2 commands for use in scripts or project files
g foo.r	Compile and assemble a r_egg source file named 'foo.r' into shellcode
gc cmd=/bin/ls	Set a configuration option for shellcodes and encoders, e.g., specifying a command to execute
gc	Display a comprehensive list of all available configuration options for egg
ge [encoder] [key]	Specify an encoder and an optional key for shellcode encoding
git [...]	Execute git commands within r2, allowing version control operations
gi [type]	Define the type of shellcode to be generated (e.g., exec, bind, connect)
gL[?]	List all available plugins for shellcode generation and encoding, with optional help
gp padding	Define padding for the generated shellcode command
gr	Reset the egg environment, clearing all previous configurations
gs name args	Compile a syscall with the given name and arguments into shellcode
gS	Display the current egg configuration, including all set options
gw	Compile the egg code and write the resulting shellcode to the current file
ia	List all architectures found in the current binary (equivalent to rabin2 -A)
ib	Reload the current buffer to update binary information (should be used only once)
ic	List all classes, methods, and fields in the binary (use icj for JSON output)
iC[j]	Show detailed signature information, including entitlements (optional JSON output)
id	Display DWARF source line information for debugging
iD lang sym	Demangle the given symbol name for the specified programming language
ie[?]e	Show entrypoint (ie) or both constructors and destructors (iee)
iE	List all exported symbols (global symbols) from the binary
ig[?][h]	Estimate the size of the binary program (use 'h' for human-readable units)
ih	Display a normal output of the binary headers
iH[?]	Show detailed information about binary headers fields
ii[?][c,j*,]	List all symbols imported from external libraries (various output formats available)
iic	List imported symbols grouped by their respective classes
iI	Display comprehensive binary information, including file format and architecture
ik [query]	Query the key-value database from RBinObject for specific information
il	List all libraries that the binary depends on
iL [plugin]	List all loaded RBin plugins or show details of a specific plugin
im	Show information about predefined memory allocations in the binary
iM	Display the main address (entry point) of the binary
io	Display information about input/output operations
iO[?]	Perform binary operations such as dumping, resizing, or modifying sections
ir	List all relocations in the binary
iR	Display a comprehensive list of resources embedded in the binary
is[?]	List all symbols (functions and variables) defined in the binary
iS [sha1,crc32(,..)]	Show detailed information about sections, optionally with cryptographic hashes
it	Calculate and display various file hashes (e.g., MD5, SHA1, SHA256)
iT	Show the file signature, which can help identify the file type or compiler used
iV	Display version information embedded in the binary file
iw	List all try/catch blocks found in the binary (useful for exception handling analysis)
iz	Extract and display strings from data sections (with JSON/Base64 output options)
ic.	Show the class and method name at the current seek position
ic-[klass.method]	Remove a specific class or method symbol from the binary
ic+[klass.method]	Add a new symbol for a given class and method at the current seek position
icc [lang]	List classes, methods, and fields in a structured header format for various languages
icg [str]	Generate and display a class hierarchy graph, optionally filtering by a given string
icq	List classes in quiet mode, showing only class names
icqq	List non-system classes in an even quieter mode
icl[c]	Show addresses of classes and their methods without names (iclc for class count)
ics	Display class symbols in an easily parsable format for scripting
idp [file.pdb]	Load debugging information from a specified PDB (Program Database) file
idpi [file.pdb]	Show detailed information about a PDB file without loading it
idpi*	Display symbols from a PDB file as flags (prefix with dot to import)
idpd	Download a PDB file from a remote symbol server
idx	Display source files referenced via DWARF debugging information
iE,[table-query]	List exported symbols using a custom table query for filtering
iE.	Show export information for the symbol at the current address
ih*	Display header information as r2 commands for scripting
ihj	Output header information in JSON format for easy parsing
iic.	Show classes associated with the import at the current address
iicc [type]	Display the kind (type) of a given symbol name
iiccx [type]	List functions that call imports of a specific class
iicj	Output grouped imports in JSON format
iick	Group and display imports by class in a key/value format
is,[table-query]	List symbols using a custom table query for advanced filtering
is.	Display information about the symbol at the current address
is*	Output symbol information as r2 commands for scripting
isj	List symbols in JSON format for programmatic processing
iS.	Show details about the section containing the current address
iS,[table-query]	List sections using a custom table query for advanced filtering
iS=	Display an ASCII-art visualization of section ranges with color bars
iSS	List memory segments (equivalent to the 'om' command for memory maps)
iz- [addr]	Remove (purge) a string at a specific address using bin.str.purge
iz*	Generate r2 commands to recreate all strings with their flags and comments
izz	Perform a comprehensive string search across the entire binary
izz*	Output commands to recreate all strings found in the entire binary
izzz	Extract and display all strings from the binary directly in the r2 shell (useful for large files)
k anal/**	List all namespaces under the 'anal' category, showing the hierarchical structure of analysis-related data
k anal/meta/*	List all key-value pairs from the 'meta' namespace within the 'anal' category, displaying metadata information
k anal/meta/meta.0x80404	Retrieve the specific value associated with the key 'meta.0x80404' in the anal/meta namespace
k foo	Display the value associated with the key 'foo' in the current namespace
k foo=bar	Set the value 'bar' for the key 'foo' in the current namespace
kd [file.sdb] [ns]	Dump the contents of a specified namespace to a file in SDB format, useful for backup or sharing
kj	Generate a comprehensive JSON-formatted list of all namespaces and SDB databases, ideal for scripting and data exchange
ko [file.sdb] [ns]	Open and load an SDB file into a specified namespace, allowing import of external data
ks [ns]	Enter an interactive SDB query shell for a given namespace, enabling direct manipulation and querying of data
lu [path]	Execute a Lua script at the specified path, equivalent to using the #!lua directive
ll [path]	List files and directories in long format, showing detailed information including permissions and timestamps
lr [path]	List files and directories recursively, displaying the entire directory tree structure
li	Display the source code of the current function, similar to GDB's 'list' command for source-level debugging
ls [-e,-l,-j,-q] [path]	List files and directories with various options: emoji, long format, JSON output, or quiet mode
ls -e [path]	List files and directories using emoji icons for visual representation of file types
ls -l [path]	List files and directories in long format, showing detailed information (alias for 'll' command)
ls -j [path]	List files and directories in JSON format, useful for parsing and processing file information programmatically
ls -q [path]	List files and directories in quiet mode, outputting one file per line without additional details
le[ss] [path]	View file contents with paging, similar to 'less' command or 'cat' with grep for pattern matching
L blah.dylib	Load a specified plugin file (in this case, 'blah.dylib') into radare2, extending its functionality
L-duk	Unload the 'duk' core plugin, removing its features from the current radare2 session
La[qj]	List architecture plugins (CPU/ISA support). Use q for quiet mode, j for JSON output
LA[qj]	List analysis plugins (code analysis features). Use q for quiet mode, j for JSON output
Lb[qj]	List binary format plugins (ELF, PE, etc). Use q for quiet mode, j for JSON output
Lc[j]	List core plugins (essential r2 functionality). Use j for JSON output
Ld[j]	List debugger plugins (gdb, native, etc). Alias for 'dL'. Use j for JSON output
LD[j]	List available decompiler backends. Configure with 'e cmd.pdc=?'. Use j for JSON output
Le[j]	List ESIL plugins (emulation features). Use j for JSON output
Lg[j]	List egg plugins (shellcode generators). Use j for JSON output
Lh	List hash plugins for cryptographic functions (see 'ph' command)
Li[j]	List binary information plugins. Alias for 'iL'. Use j for JSON output
Ll[qj]	List scripting language plugins (#! hashbang). Use q for quiet mode, j for JSON output
LL	Lock the terminal screen (requires password to unlock)
Lm[j]	List filesystem plugins. Alias for 'mL'. Use j for JSON output
Lo[j]	List IO plugins (file access). Alias for 'oL'. Use j for JSON output
Lp[j]	List parser plugins for assembly parsing. Configure with 'e asm.parser=?'. Use j for JSON output
Ls[qj]	List assembly plugins (disassemblers). Use q for quiet mode, j for JSON output
Lt[j]	List available color themes. Alias for 'eco'. Use j for JSON output
m /mnt ext2 0	Mount an ext2 filesystem at /mnt with a delta of 0 on the current IO device
m /mnt	Mount a filesystem at /mnt, automatically detecting the filesystem type and using the current offset
m*	Display mount commands in radare2 script format for current mounts
m-/	Unmount the filesystem at the given path (/)
mL[Lj]	List available filesystem plugins (Same as Lm command), use mLL to show only plugin names, j for JSON output
mc [file]	Display the contents of the specified file (similar to 'cat' command)
md /	List files and directories in the virtual radare2 filesystem root
mdd /	Show detailed file information including size, similar to 'ls -l' command
mdq /	Display only filenames in the current directory (quiet mode)
mf[?] [o|n]	Search for files by filename or offset within the mounted filesystem
mg /foo [offset size]	Retrieve file or directory from the mounted filesystem and save to disk (supports base64 encoding)
mi /foo/bar	Get the offset and size information for the specified file in the mounted filesystem
mj	List all mounted filesystems in JSON format for easy parsing
mo /foo/bar	Open the specified file from the mounted filesystem into a new memory buffer (malloc://)
mp msdos 0	Display partition information in MSDOS format starting at offset 0
mp	List all supported partition table types
ms /mnt	Open an interactive filesystem shell at the specified mount point (or fs.cwd if not defined)
mw [file] [data]	Write the specified data to the given file in the mounted filesystem
mwf [diskfile] [r2filepath]	Copy contents of a local disk file into a file in the radare2 mounted filesystem
my	Copy (yank) the contents of the current file into the clipboard
mal	List all available radare2 documentation topics
man [page]	Display the manual page for the specified radare2 command or topic
mfn /foo *.c	Search for files by name pattern (e.g., *.c) in the /foo directory of the mounted filesystem
mfo /foo 0x5e91	Search for files by their offset (0x5e91) in the /foo directory of the mounted filesystem
o-1	Close the file descriptor with ID 1, releasing associated resources
o*[*]	List all opened files as r2 commands, optionally showing a script to set flags for each file descriptor
o+ [file]	Open the specified file in read-write mode, allowing both reading and modification
o++ [file]	Create a new file if it doesn't exist and open it in read-write mode (see 'ot' for creation and 'omr' for mapping)
o-[?][#!*$.]	Close opened files with various options (use 'o-?' for help on closing specific files)
o.	Display the filename of the currently active file (use 'o.q' or 'oq' to get the file descriptor instead)
o: [len]	Create a new memory buffer of specified length and copy bytes from current offset into it
o=(#fd)	Select a file descriptor or display a visual ASCII art representation of all opened files
oL	Display a comprehensive list of all registered IO (Input/Output) plugins
oa[-] [A] [B] [filename]	Specify architecture and bits for a given file, or remove this information if used with '-'
ob	Show a detailed list of all opened binary files along with their object IDs
oc [file]	Open and analyze a core dump file, similar to restarting r2 with the core file
of[?] [file]	Open a file without creating any memory map (use 'of?' for more options)
oe [filename]	Open the specified file using the editor defined in the 'cfg.editor' configuration
oj	Display information about all opened files in JSON format for easy parsing
om	Show a comprehensive list of all defined IO memory maps
on[?][n] [file] 0x4000	Map a raw file at the specified address (0x4000 in this example) without involving the binary parser
oo	Reopen the current file, refreshing its contents and analysis
op[npr] [fd]	Select a prioritized file by its file descriptor, with options for next, previous, or rotate selection
ot [file]	Create an empty file (equivalent to the 'touch' command in Unix-like systems)
oq[q]	List all open files or display the current file descriptor (use 'oqq' for a more concise output)
ox fd fdx	Swap the descriptors of two files (fd and fdx) while maintaining their memory mappings
open [file]	Utilize the system's default file opener (xdg-open on Linux, open on macOS) to view the specified file
o-*	Close all currently opened files, clearing the file descriptor list
o-!	Close all opened files except for the currently active one
o-3	Close the file with file descriptor 3
o-$	Close the most recently opened file (last in the file descriptor list)
o-.	Close the currently active file
o--	Perform a complete reset: close all files, clear analysis data, remove binary files and flags (equivalent to restarting r2)
ob*	List opened binary files and their object IDs in r2 command format for scripting
ob *	Select all binary files (use 'ob <bfid>' to select a specific one)
obi?[..]	Display binary information (alias for 'i' command with optional arguments)
obio	Force loading of binary information from the IO plugin, bypassing cached data
obm([id])	Merge the currently selected binary file into the previous one (id-1)
obm-([id])	Merge binary files and delete the current one after merging
ob-*	Remove all loaded binary files from the session
ob-[objid]	Remove a specific binary file by its object ID
ob--	Remove the most recently loaded binary file
ob. ([addr])	Display the binary file ID (bfid) for the file mapped at the given address
ob=	Show an ASCII art table listing all open binary files
obL	List available binary formats (equivalent to 'iL' or 'Li' commands)
oba [addr]	Load binary information starting from the specified address
obf ([file])	Load binary information for the current file (useful when r2 is started with -n)
obj	List opened binary files and their object IDs in JSON format
obo [fd]	Switch to a different open binary file using its file descriptor
obr [baddr]	Rebase the current binary object to a new base address
om fd vaddr [size] [paddr] [rwx] [name]	Create a new IO memory map with specified parameters
om*	List all memory maps in r2 command format for scripting
om-mapid	Remove a specific memory map by its ID
om-*	Remove all defined memory maps
om-..	Display a heads-up display (HUD) to visually select and remove maps
om.	Show details of the memory map at the current offset
om, [query]	List memory maps using the table API, optionally filtered by a query
om=	Display all memory maps in an ASCII art representation
oma [fd]	Create a memory map covering the entire virtual address space for a given file descriptor
omb [id]	Switch to a different memory bank by ID
omB mapid addr	Relocate a specific memory map to a new address
omB. addr	Relocate the current memory map to a new address
omd from to @ paddr	Create a simplified memory map using current seek, file descriptor, and permissions
omf [mapid] rwx	Modify flags/permissions for a specific memory map or the current one
omfg[+-]rwx	Globally change flags/permissions for all memory maps
omj	List all memory maps in JSON format for easy parsing and scripting
omm [fd]	Create a default memory map for the given file descriptor (use 'omm `oq`' for current file)
omn[?] ([fd]) [name]	Manage memory map names: set, show, or delete names for maps
omo fd	Map the given file descriptor with the lowest priority in the memory layout
omp mapid	Increase the priority of the memory map with the specified ID
ompb [fd]	Prioritize all memory maps associated with the binary file of the given file descriptor
ompd mapid	Decrease the priority of the memory map with the specified ID
ompf [fd]	Prioritize all memory maps associated with the given file descriptor
omq	Display a list of all memory maps along with their corresponding file descriptors
omqq	List addresses of all memory maps (use $MM to get the size of each map)
omr [mapid newsize]	Resize the memory map with the specified ID to the new size
omt mapid	Toggle backwards tying for the specified memory map (equivalent to omtb)
omtb mapid	Toggle backwards tying for the specified memory map
omtf mapid	Toggle forwards tying for the specified memory map
omb=[name]	Select a memory bank by name (equivalent to 'omb id' but using the bank's name)
omb+ [name]	Create a new memory bank with the given name
omba [id]	Add the current memory map to the specified bank
ombd [id]	Remove a memory map from the specified bank
omb-*	Delete all memory banks, resetting the bank structure
omb- [mapid]	Delete the memory bank with the given ID
ombg	Associate all existing memory maps with the current bank
ombq	Display the ID of the currently active memory bank
omn mapaddr [name]	Set or delete a name for the memory map that includes the specified address
omn.([-|name])	Show, set, or delete the name for the memory map at the current address
omni mapid [name]	Set or delete a name for the memory map with the specified ID
on /bin/ls 0x4000	Map a raw file at the specified address (0x4000) without using the binary parser
onn [file] ([rwx])	Open a file without creating any memory maps or parsing headers (specify optional permissions)
onnu [file] ([rwx])	Open a file uniquely, returning the existing file descriptor if already opened
on+ [file] ([rwx])	Open a file in read-write mode without parsing headers (specify optional permissions)
on*	Display list of open files formatted as r2 commands for scripting
oo+	Reopen current file in read-write mode
oob [baddr]	Reopen file and reload binary information with optional new base address
ooi	Reload binary information without reopening the underlying file
ooc	Reopen current file as a core dump file
ood [args]	Reopen current file in debug mode with optional program arguments
oom[?]	Reopen current file in memory (malloc://) with various options
oon	Reopen current file without loading binary analysis information
oon+	Reopen current file in read-write mode without binary analysis
oonn	Reopen current file without binary analysis but preserve header flags
oonn+	Reopen current file in read-write mode without binary analysis but preserve header flags
oodf [file]	Debug the specified file (equivalent to reopening in debug mode)
oodr [rarun2]	Execute rarun2 profile then reopen in debug mode
p- [nblocks]	Display a visual representation of metadata distribution across file boundaries using ASCII art bars
p2 [len]	Generate and display 8x8 2bpp-tiles for the specified length of data
p3 [file]	Create and print a 3D stereogram image of the current block or specified file
p6[de] [len]	Perform base64 encoding (e) or decoding (d) on the specified length of data
p8[?][dfjx] [len]	Print a list of bytes as hexadecimal pairs with various formatting options
p=	Visualize the bytes of the current block using ASCII art bars
pa [assembly]	Assemble the given assembly expression and print the resulting hexadecimal pairs
pA[n_ops]	Display the address and type information for the specified number of operations
pb[?] [n]	Print a bitstream representation of N bits
pB[?] [n]	Print a bitstream representation of N bytes
pc	Print the current block in C syntax
pC[aAcdDxw] [rows]	Print disassembly in columns with various formatting options (see hex.cols and pdi)
pd[?] [sz] [a] [b]	Disassemble N opcodes (pd) or N bytes (pD) with optional start and end addresses
pf[?][.name] [fmt]	Print formatted data using a specified format string or named format
pF[?][apx]	Print ASN.1, PKCS#7, or X.509 formatted data
pg	Print all available formatting options
ph	Display a list of available hash plugins (equivalent to Lh and phl/phL)
pi[?][bdefrj] [num]	Print instructions with various formatting options and count
pI[?][iI][df] [len]	Print N instructions or bytes with function-level granularity
pj	Print the current block as indented JSON for easy parsing
pk [len]	Generate and display a visual representation of the key using randomart mosaic
pK [len]	Generate and display a visual representation of the key using randomart mosaic (alternative format)
pl[?][format] [arg]	Print a list of data using specified format options (pl Ffvc)
pm [file|directory]	Set the libmagic reference file or directory for file type identification (see /m?)
po[24aAdlmorsx]	Print data in various formats, using clipboard content if no hexadecimal pairs are provided
pp[?][sz] [len]	Print repeating patterns with various options (see pp? for more details)
pq[?][is] [len]	Generate and print a QR code containing the first N bytes of data
pr[?][glx] [len]	Print N raw bytes in various formats (lines, hexblocks, or gunzipped)
ps[j]	Print the string until the first non-printable character is encountered
pt	Print the UNIX timestamp (32-bit, respecting cfg.bigendian) as a human-readable date
pu[w] [len]	Print N URL-encoded bytes (w for wide-character encoding)
pv	Print bytes based on the current asm.bits setting
pwd	Display the current working directory
px	Show a hexadecimal dump of the current block
py([-:file]) [expr]	Execute Python code: print clipboard (yp), run Python script (py:file), execute one-liner `py print(1)`, or read from stdin `py-`
pz[?] [len]	Display a zoomed view of data, showing patterns and repetitions (use pz? for detailed help)
pkill [process-name]	Terminate all running processes with the specified name
pushd [dir]	Change to the specified directory and add the current directory to the directory stack
popd[-a][-h]	Remove the top directory from the stack and change to it; -a pops all, -h shows history
p-e [nblocks]	Visualize entropy distribution across file/block using ASCII-art bars
p-h [nblocks]	Display a histogram analysis of metadata distribution per block
p-j [nblocks]	Output metadata analysis in JSON format
p8 ([len])	Print data as a string of hexadecimal pairs, optionally specifying length
p8*	Generate and display radare2 commands to recreate the current block
p8d	Output byte values as a space-separated list in decimal format
p8f	Print hexadecimal pairs of the current function's bytes (linear representation)
p8j	Output hexadecimal pairs as a JSON array
p8x	Display hexadecimal pairs, respecting the hex.cols configuration
e zoom.in	Set the range for zoomed view of data
p==[..]	Execute subcommands similar to p=, but display results using column bars instead of rows
p=0	Display a histogram of null byte (0x00) distribution across the file or block
p=2	Generate a visualization using short (signed int16) bars, useful for representing waveforms
p=a	Show a map of basic blocks from analysis results
p=A	Display comprehensive analysis statistics maps (refer to p- for more details)
p=b	Identical to p=a, showing basic block map from analysis
p=c	Visualize the number of function calls per block
p=d	Present the minimum, maximum, and count of unique bytes in each block
p=e	Illustrate the entropy distribution for each file size or block size
p=F	Create a histogram of 0xFF byte distribution across the file or block
p=i	Highlight the number of invalid instructions detected in each block
p=j	Visualize the frequency of jumps and conditional jumps within blocks
p=m	Display the distribution of flags and marks across blocks
p=p	Show the proportion of printable bytes for each file size or block size
p=s	Illustrate the occurrence of system calls and privileged instructions
p=z	Visualize the character count in strings found within blocks
paD [hexpairs]	Disassemble and display both the assembly expression and original hexadecimal pairs
pad [hexpairs]	Convert hexadecimal pairs to assembly expression (equivalent to pdx and pix)
pade [hexpairs]	Generate and display the ESIL (Evaluable Strings Intermediate Language) expression from given hexadecimal pairs
pae [assembly]	Convert the provided assembly expression into its corresponding ESIL representation
pc*	output current block as radare2 'wx' commands for reconstruction
pcA	output current block as .bytes with assembly instructions in comments
pca	output current block as GNU assembler (GAS) .byte directives
pcc	output current block as C char array with multiline string formatting
pcd	output current block as C array of double words (8 byte values)
pch	output current block as C array of half-words (2 byte values) 
pci	output current block as C array of bytes with assembly instructions in comments
pcJ	output current block as JavaScript code
pcj	output current block as JSON data
pck	output current block as Kotlin code
pco	output current block as Objective-C code
pcp	output current block as Python code
pcq	output current block as C code without comments (suitable for includes)
pcr	output current block as Rust code
pcg	output current block as Go language code
pcS	output current block as shell script that can reconstruct the binary
pcs	output current block as string literal
pcn	output current block as space-separated list of decimal numbers
pcv	output current block as Java code
pcV	output current block as V language code
pcw	output current block as C array of words (4 byte values)
pcy	output current block as YARA pattern matching rules
pcY	output current block as YARA rules without comments
pcz	output current block as Swift code
pD N	Disassemble and display N bytes of machine code as assembly instructions
pd -N	Disassemble N instructions backwards from the current position, useful for reverse analysis
pd N	Disassemble and display N instructions from the current position
pd-- N	Show context disassembly of N instructions, including surrounding code for better understanding
pda	Disassemble all possible opcodes byte by byte, useful for identifying hidden or obfuscated instructions
pdaj	Disassemble all possible opcodes byte by byte and output the result in JSON format for easy parsing
pdb[j]	Disassemble the current basic block, with optional JSON output (use 'j' flag)
pdc	Perform pseudo-decompilation of the function at the current offset, converting assembly to C-like code
pdC	Display comments found in N instructions, helping to understand code annotations
pde[q|qq|j] N	Disassemble N instructions following the execution flow from current PC, with options for quiet output or JSON format
pdo N	Convert ESIL (Evaluable Strings Intermediate Language) expressions of N instructions to C code (use pdO for raw bytes)
pdf	Disassemble the entire function in a linear way, showing all instructions sequentially
pdi	Disassemble with offset and bytes information, similar to 'pi' command but with additional details
pdj	Disassemble and output the result in JSON format for programmatic analysis
pdJ	Provide formatted disassembly output in JSON, similar to 'pd' command but in a structured format
pdk[?]	Disassemble all methods of a class, useful for analyzing object-oriented code
pdl	Display the sizes of instructions, helping to understand code density and alignment
pdp	Disassemble by following pointers to read return-oriented programming (ROP) chains
pdr	Recursively disassemble across the entire function graph, showing control flow
pdr.	Recursively disassemble across the function graph, starting from the current basic block
pdR	Recursively disassemble a specified number of bytes without analyzing functions, useful for raw binary analysis
pds[?]	Print disassembly summary, showing referenced names, strings, and other important information
pdsb [N]	Display a summary of the current basic block or N basic blocks
pdsf[sjq]	Show a comprehensive function summary including strings, calls, variables, and references, with options for different output formats
pdss [N]	Display a summary of strings found in the current function or N functions
pdu[aceios?]	Disassemble instructions until a specified condition is met, useful for analyzing loops or specific code patterns
pd, [n] [query]	Disassemble N instructions in a tabular format, similar to debug trace display (see 'dtd' command)
pdx [hex]	Alias for 'pad' or 'pix' commands, used to disassemble from raw hexadecimal input
pdcc	Perform pseudo-decompilation with additional C helper functions for improved readability
pdco	Display pseudo-decompiled output with associated memory offsets for each line of code
pdcj	Generate JSON format output for codemeta annotations, used by frontends like Iaito for enhanced visualization
pdfj	Disassemble the entire function and output the result in JSON format (see 'pdfJ' for differences)
pdfr	Recursively disassemble the function, equivalent to 'pdr' command
pdfs	Display a concise function summary, including key information about the function (see 'pdsf' for more details)
pf fmt	Display data using a custom format string. See 'pf??' and 'pf???' for detailed syntax and examples.
pf?	Show help information for the 'pf' command and its subcommands.
pf??	Provide detailed explanation of format characters used in 'pf' command.
pf???	Display practical usage examples of the 'pf' command for various data structures.
pf* fmt_name|fmt	Print data using the specified format as r2 flag creation commands, useful for scripting.
pf.	List all predefined format definitions available in the current session.
pf.fmt_name [0|cnt]fmt	Define a new named format with optional count, allowing reuse in future commands.
pf.fmt_name.field_name[i]	Display the i-th element of an array field within a named format.
pf.fmt_name.field_name=33	Set a new value for a specific field in a named format, useful for data modification.
pf?fmt_name	Show the detailed definition of a previously defined named format.
pfb [fmt] [fnames]	Print formatted bitfield in ASCII art, visualizing bit layouts.
pfc fmt_name|fmt	Display data using the specified format as a C string, useful for code generation.
pfd.fmt_name	Generate and display data using a named format as Graphviz commands for visualization.
pfj fmt_name|fmt	Output data using the specified format in JSON, facilitating machine parsing.
pfo fdf_name	Load a Format Definition File (FDF), importing predefined complex structures.
pfo	List all available Format Definition Files (FDF) in the current r2 installation.
pfq fmt ...	Perform a quiet print of the formatted data, omitting the address information.
pfs[.fmt_name|fmt]	Calculate and print the size of a named format or format string in bytes.
pfv.fmt_name[.field]	Print only the values for a named format or specific field, ideal for scripting.
pfbc [fmt] [fnames]	Similar to 'pfb', but output using C syntax for bitfield representation.
pfbj [fmt] [fnames]	Output bitfield information in JSON format, useful for further processing.
pfbq [fmt] [fnames]	Display bitfield information in a quieter, one-line format for concise output.
pfbd [fmt] [fnames]	Similar to 'pfb', but includes additional debugging information.
pfb 3b4b foo bar	Define and display two bitfields: 'foo' of 3 bits and 'bar' of 4 bits.
pfb 3b+4b foo bar	Equivalent to the above, demonstrating that the '+' sign is optional.
pfb 3b..4b foo bar	Define bitfields with 2 unused bits between them, useful for aligned structures.
pfb 3b2.4b foo bar	Another way to represent the above, using digits and dots for bit spacing.
pFa[jqt] [len]	Decode ASN1/DER data from the current block, with options for JSON, quiet, or test output.
pFA[j] [len]	Decode Android Binary XML data from the current block, with optional JSON output.
pFb[vj] [len]	Decode raw Protocol Buffers data, with options for verbose or JSON output.
pFB[j] [len]	Decode iOS Binary PLIST data from the current block, with optional JSON output.
pFo[j] [len]	Decode ASN1 Object Identifier (OID), with optional JSON output.
pFp[j] [len]	Decode PKCS7 data structure, commonly used in cryptography, with optional JSON output.
pFx[j] [len]	Decode X509 certificates, with optional JSON output for detailed certificate information.
pFX [len]	Decompress and print the contents of an XZ-compressed block of specified length
pg*	Generate and print ROP gadgets as r2 commands for scripting or further analysis
pg-*	Remove all previously discovered ROP gadgets from memory
ph md5	Compute and display the MD5 hash of the current data block
ph:md5	Equivalent to 'ph md5', using a colon instead of a space for command separation
ph sha1 32 @ 0x1000	Calculate and show the SHA1 hash of 32 bytes starting at address 0x1000
phj	Display a list of all available cryptographic hash plugins in JSON format
pia	Print all possible opcodes byte by byte, useful for instruction set analysis
pib	Disassemble and print all instructions within the current basic block
pid	Alias for 'pdi', disassembles and prints instructions with detailed information
pie	Convert and print the ESIL (Evaluable Strings Intermediate Language) representation of N instructions
piE	Generate and display ESIL for all instructions found within N bytes of data
pif	Disassemble and print all instructions of the current function
pij	Disassemble N instructions and output the result in JSON format for easy parsing
pir	Recursively disassemble the function graph, similar to 'pdr' but using 'pI' output format
piu[q] [optype]	Disassemble instructions until an instruction of the specified optype is encountered, with optional quiet mode
pix	[hexpairs] Alias for 'pdx' and 'pad', disassemble from raw hexadecimal input
pieb	Print ESIL representation of all instructions in the current function's basic block
pieq	Display ESIL of instructions without showing their addresses, for a cleaner output
pief	Generate and print ESIL representations for all basic blocks in the current function
piefq	Print ESIL for all function basic blocks without displaying instruction addresses
piEq	Show ESIL of instructions found in N bytes, omitting the instruction addresses
pifj	Output all function instructions in JSON format for programmatic analysis
pifc	Analyze and print all function calls made within the current function
pifcj	Display all function calls in the current function in JSON format
pj.	Generate and print indented JSON representation of data from address 0 to the current offset
pj..	Produce a JSON path representation from address 0 to the current offset, useful for data structure analysis
e dir.magic	Set the directory path for magic files, defaulting to /usr/local/share/radare2/5.9.7/magic
po2 [val]	Perform a 2-byte endian swap on the given value
po4 [val]	Execute a 4-byte endian swap on the specified value
poa [val]	Perform addition operation on current value (e.g., poa 0102 adds 0x0102)
poA [val]	Apply bitwise AND operation with the given value
pod [val]	Divide the current value by the specified value
poD [algo] [key] [iv]	Decrypt a block of data using specified algorithm, key, and initialization vector
poE [algo] [key] [iv]	Encrypt a block of data using specified algorithm, key, and initialization vector
pol [val]	Perform a bitwise left shift operation by the given number of bits
pom [val]	Multiply the current value by the specified value
poo [val]	Apply bitwise OR operation with the given value
por [val]	Execute a bitwise right shift operation by the given number of bits
pos [val]	Subtract the specified value from the current value
pox [val]	Perform bitwise XOR operation with the given value (e.g., pox 0x90)
poS [algo] [key]	Calculate and display the cryptographic signature of a block using the specified algorithm and key
pp0	Fill and print a buffer with zero bytes
pp1	Generate and print an incremental byte pattern, considering lower bits of current address and block size
pp2	Create and display an incremental word (2-byte) pattern
pp4	Produce and show an incremental double word (4-byte) pattern
pp8	Generate and print an incremental quad word (8-byte) pattern
ppa[lu]	Print Latin alphabet pattern (l for lowercase, u for uppercase, with restrictions)
ppd	Generate and print a De Bruijn pattern (refer to ragg2 -P, -q and wopD for more options)
ppf	Fill and print a buffer with 0xFF bytes
ppn	Generate and display numeric PIN patterns
pq 32	Create and print a QR code representing the current 32 bytes of data
pqz	Generate and display a QR code using the current null-terminated string at the current offset
prc[=fep..]	Visualize bytes as colors using a specified palette
prg	Decompress and print the gunzipped data of the current block
pri[aA12r]	Print raw image data, with options for 1-bit image and respecting hex.cols setting
print[f][ln]	Various print functions: print, println, printf, printfln for formatted output
prl	Print raw data with line offsets, displaying both hexadecimal and ASCII representations
prx	Print printable characters with their real file offsets, useful for analyzing text within binary data
prz	Print raw zero-terminated string, stopping at the first null byte encountered
